text,label
"Monthly electricity bill increased due to extended chiller runtime","energy"
"LED retrofit reduced kWh in the office area","energy"
"Install solar PV to offset grid consumption","energy"
"AHU efficiency audit shows high specific fan power","energy"
"Generator fuel usage reported for backup power","energy"
"Optimize HVAC setpoints to cut energy load","energy"
"Low water pressure in restrooms reported","water"
"Install aerators to reduce faucet flow","water"
"Irrigation schedule updated to save water","water"
"Chiller make-up water consumption too high","water"
"Water leak detected near pump room","water"
"Upgrade to dual-flush toilets across facility","water"
"Overflowing bins near cafeteria need attention","waste"
"Introduce recycling stations for paper and plastic","waste"
"Food waste from pantry to be composted","waste"
"E-waste collection drive scheduled next week","waste"
"Waste segregation signage is missing","waste"
"Cardboard baler maintenance pending","waste"
"Shuttle bus timetable updated for staff","transport"
"Promote carpooling to reduce commuting emissions","transport"
"New EV chargers installed in basement parking","transport"
"Fleet fuel card data imported for analysis","transport"
"Bicycle racks added near entrance","transport"
"Route optimization reduced delivery trips","transport"
